City_ID,City,Longitude,Latitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
109,windhoek,17.0832,-22.5594,23.57,53,75,1.34,NA,1707795804
110,general pico,-63.7568,-35.6566,14.65,63,0,3.36,AR,1707795804
111,pisco,-76.2167,-13.7,24.03,78,0,6.17,PE,1707795804
112,nishinoomote,131,30.7333,18.31,55,75,3.09,JP,1707795804
113,rio gallegos,-69.2181,-51.6226,12.03,58,0,4.12,AR,1707795683
114,port macquarie,152.9167,-31.4333,27.72,55,8,7.56,AU,1707795804
115,iqaluit,-68.5145,63.7506,-25.15,70,100,2.06,CA,1707795805
116,cambria,-121.0808,35.5641,12.65,84,61,2.16,US,1707795805
117,laghouat,2.8651,33.8,13.51,69,33,8.17,DZ,1707795805
118,invercargill,168.35,-46.4,23.39,42,45,3.61,NZ,1707795805
119,alice springs,133.8833,-23.7,34.75,26,40,3.6,AU,1707795653
120,walvis bay,14.5053,-22.9575,17.53,88,59,0,NA,1707795670
121,shiraz,52.5388,29.6036,0.69,69,0,0,IR,1707795806
122,vorgashor,63.95,67.5833,-35.93,99,29,2.39,RU,1707795806
123,la passe,-0.8967,45.5549,5.55,95,100,3.38,FR,1707795549
124,qufu,116.9911,35.5967,16.08,43,0,4.74,CN,1707795806
125,bac lieu,105.7244,9.285,32.41,40,29,4.69,VN,1707795807
126,praia da vitoria,-27.0667,38.7333,17.09,82,20,13.31,PT,1707795807
127,utrik,169.8474,11.2278,26.08,70,100,9.65,MH,1707795656
128,tarija,-64.7296,-21.5355,19.12,84,100,0.58,BO,1707795807
129,borivli,72.85,19.2333,24.95,50,20,2.06,IN,1707795807
130,kulhudhuffushi,73.07,6.6221,27.67,68,86,4.26,MV,1707795807
131,palikir - national government center,158.1611,6.9248,29.47,79,100,7.72,FM,1707795808
132,alofi,-169.9187,-19.0595,28.94,79,75,5.66,NU,1707795808
133,edinburgh of the seven seas,-12.3116,-37.0676,17.48,75,94,6.2,SH,1707795514
134,kill devil hills,-75.676,36.0307,11,97,100,0,US,1707795682
135,kushima,131.2333,31.4583,16.69,57,35,2.72,JP,1707795809
136,taseyevo,94.8978,57.2169,-16.22,83,100,4.52,RU,1707795809
137,preobrazheniye,133.9064,42.9019,5.51,62,2,4.25,RU,1707795809
138,mejit,170.8646,10.2753,26.34,69,100,8.91,MH,1707795809
139,mandalgovi,106.2708,45.7625,-8.61,65,100,5.8,MN,1707795809
140,olonkinbyen,-8.7187,70.9221,-1.34,98,100,8.21,SJ,1707795810
141,happy valley-goose bay,-60.3315,53.3168,-6.83,93,100,2.57,CA,1707795705
142,lingsugur,76.5167,16.1667,24.49,41,54,6.67,IN,1707795810
143,bonthe,-12.505,7.5264,25.37,88,0,1.69,SL,1707795811
144,namibe,12.1522,-15.1961,25.64,77,100,3.24,AO,1707795811
145,tangalle,80.7911,6.024,29.09,62,60,5.36,LK,1707795811
146,kayes,-11,14,26.23,9,0,2.03,ML,1707795811
147,naberera,36.9333,-4.2,17.77,94,93,0.97,TZ,1707795811
148,manggar,108.2667,-2.8833,29.59,68,94,1.65,ID,1707795674
149,cristalina,-47.6136,-16.7686,16.57,89,1,1.57,BR,1707795812
150,whitehorse,-135.0538,60.7161,-3.57,68,100,1.03,CA,1707795538
151,krasnokamsk,55.7541,58.0802,-9.91,96,100,1.93,RU,1707795812
152,champerico,-91.9167,14.3,23.96,71,7,1.71,GT,1707795642
153,newman,-121.0208,37.3138,12.13,82,80,1.34,US,1707795687
154,imranli,38.1136,39.8754,1.38,90,100,2.53,TR,1707795813
155,pingliang,106.6861,35.5392,9.9,44,92,0.6,CN,1707795813
156,wuwei,102.6414,37.9281,5.52,17,42,3.15,CN,1707795813
157,san jose,-121.895,37.3394,12.38,71,100,0.45,US,1707795611
158,ketchikan,-131.6461,55.3422,3.99,87,0,2.06,US,1707795679
159,mount pearl,-52.7813,47.5166,0.53,94,100,5.14,CA,1707795814
160,okha,142.9478,53.5739,-13.68,92,97,7.29,RU,1707795815
161,kinablangan,126.5503,7.6947,27.24,73,95,4.09,PH,1707795815
162,al jawf,38.75,29.5,11.66,59,100,4.24,SA,1707795815
163,tolanaro,46.9987,-25.0319,25.04,94,75,3.09,MG,1707795815
164,quellon,-73.6167,-43.1167,7.89,88,81,1.57,CL,1707795816
165,flin flon,-101.865,54.7682,-5.26,95,100,2.93,CA,1707795816
166,tura,90.2201,25.5198,22.89,18,5,1.43,IN,1707795816
167,salekhard,66.6019,66.53,-36.8,98,10,2.04,RU,1707795816
168,khandyga,135.6,62.6667,-18.21,89,100,2.52,RU,1707795658
169,chonchi,-73.8092,-42.6128,11.56,64,80,0.96,CL,1707795816
170,fort riley north,-96.8139,39.1108,5.39,71,0,0,US,1707795817
171,crane,-102.3501,31.3974,9.77,32,0,2.68,US,1707795817
172,badger,-147.5333,64.8,-5.36,89,75,3.6,US,1707795662
173,hithadhoo,73.0833,-0.6,28.07,77,100,7.1,MV,1707795817
174,kapoeta,33.5903,4.7717,29.5,34,89,6.7,SS,1707795818
175,mount isa,139.5,-20.7333,33.87,52,75,4.12,AU,1707795818
176,pundong,110.3486,-7.9522,30.33,67,15,3.15,ID,1707795819
177,college,-147.8028,64.8569,-5.31,86,75,3.6,US,1707795559
178,fort-shevchenko,50.263,44.5086,8.66,62,100,5.98,KZ,1707795819
179,vernon,-119.2691,50.2581,-0.43,93,18,1.03,CA,1707795687
180,port blair,92.75,11.6667,29.02,74,20,4.12,IN,1707795819
181,vilyuchinsk,158.4028,52.9306,-7.85,59,7,1.77,RU,1707795649
182,lihue,-159.3672,21.9789,25.77,68,0,4.12,US,1707795820
183,warrnambool,142.4833,-38.3833,27.38,38,64,9.12,AU,1707795820
184,aviano,12.5947,46.0706,6.99,84,100,2.48,IT,1707795820
185,touros,-35.4608,-5.1989,26.81,82,90,4.87,BR,1707795667
186,quinhamel,-15.85,11.8833,19.47,85,0,1.88,GW,1707795820
187,hassi messaoud,6.0729,31.6804,15.92,63,0,4.12,DZ,1707795821
188,georgetown,100.3354,5.4112,32.75,57,20,2.57,MY,1707795821
189,lompoc,-120.4579,34.6391,12.1,84,75,4.02,US,1707795625
190,san martin,-68.4681,-33.081,23.3,39,0,3.1,AR,1707795821
191,kowon-up,127.2431,39.4381,10.26,62,4,4.65,KP,1707795821
192,benjamin constant,-70.0311,-4.3831,25.07,99,100,1.14,BR,1707795822
193,necochea,-58.7368,-38.5473,15.28,53,9,7.71,AR,1707795652
194,nyandoma,40.1991,61.669,-23,100,86,2.18,RU,1707795822
195,brookings,-96.7984,44.3114,-1,89,0,0,US,1707795245
196,port elizabeth,25.5701,-33.918,20.16,91,20,9.77,ZA,1707795711
197,iwaki,140.8833,37.05,15.63,47,0,0.89,JP,1707795692
198,neyshabur,58.7958,36.2133,9.34,28,15,0.81,IR,1707795823
199,howard springs,131.047,-12.497,25.95,88,100,5.02,AU,1707795823
200,figuig (centre),-1.2286,32.1089,13.87,51,0,2.25,MA,1707795823
201,luang namtha,101.4011,20.9497,16.01,100,100,1.03,LA,1707795824
202,kodiak,-152.4072,57.79,5.73,75,100,6.17,US,1707795824
203,meadow lake,-106.5436,34.8014,4.71,39,0,3.2,US,1707795825
204,djambala,14.7533,-2.5447,21.76,90,87,2.04,CG,1707795826
205,brokopondo,-55.1667,4.75,23.78,93,89,2.79,SR,1707795826
206,kyabe,18.9449,9.4515,25.23,16,65,2.09,TD,1707795827
207,susuman,148.1667,62.7833,-36.68,97,85,0.45,RU,1707795591
208,koumra,17.5539,8.9126,25.03,16,59,2.01,TD,1707795827
209,gornozavodsk,58.3211,58.3758,-12.37,96,100,2.44,RU,1707795827
210,enoch,-113.0244,37.7733,1.93,76,0,2.57,US,1707795827
211,geraldton,114.6,-28.7667,34.23,26,0,7.72,AU,1707795670
212,sisimiut,-53.6735,66.9395,-23.02,92,26,2.68,GL,1707795794
213,bcharre,36.0106,34.2508,6.89,62,100,2.3,LB,1707795828
214,acarau,-40.12,-2.8856,26.16,87,100,5.51,BR,1707795642
215,nova sintra,-24.7167,14.8667,20.05,80,97,5.9,CV,1707795654
216,tshabong,22.45,-26.05,25.64,36,40,4.97,BW,1707795828
217,chinchilla,150.6333,-26.75,27.79,68,99,1.79,AU,1707795829
218,atafu village,-172.5159,-8.5421,27.52,85,100,12.15,TK,1707795829
219,constantia,28.65,44.1833,4.38,86,100,2.87,RO,1707795756
220,nizhnevartovsk,76.5531,60.9344,-28.88,76,0,1,RU,1707795829
221,howrah,88.3103,22.5892,23,60,40,0,IN,1707795831
222,iskateley,53.1512,67.6803,-32.77,100,15,2.24,RU,1707795831
223,wau,27.9953,7.7029,24.74,27,70,1.54,SS,1707795831
224,effium,8.0593,6.6292,25.59,80,1,2.65,NG,1707795831
225,aktau,51.2,43.65,4.32,62,100,5.42,KZ,1707795832
226,kapa'a,-159.319,22.0752,26.18,68,0,4.12,US,1707795832
227,puerto santa,-78.6456,-8.9906,22.76,88,98,2.99,PE,1707795832
228,labytnangi,66.4183,66.6572,-35.25,95,12,1.71,RU,1707795833
229,lashio,97.75,22.9333,24.41,31,28,0.89,MM,1707795833
230,ust-nera,143.2,64.5667,-33.81,95,91,0.96,RU,1707795833
231,dunedin,170.5036,-45.8742,22.4,44,57,2.47,NZ,1707795833
232,al khums,14.2619,32.6486,15.86,75,60,6.11,LY,1707795834
233,anadyr,177.4833,64.75,-29.72,74,0,5,RU,1707795834
234,fortuna,-124.1573,40.5982,11.19,94,100,0,US,1707795834
235,christchurch,172.6333,-43.5333,24.12,60,47,5.66,NZ,1707795723
236,taroa,171.2275,8.7058,26.92,68,98,9.02,MH,1707795834
237,hamilton,-84.5333,39.1834,6.35,68,100,2.24,US,1707795673
238,mafinga,35.0667,-7.25,19.66,96,100,0.52,TZ,1707795834
239,manta,-80.7333,-0.95,26.67,83,40,6.71,EC,1707795834
240,margaret river,115.0667,-33.95,23.86,38,0,6.07,AU,1707795835
